pspapg02=> \i pg_size_cat.sql
      nspname       |  size  
--------------------+--------
 pg_catalog         | 233 MB
 information_schema | 88 kB
(2 rows)

                    relname                     |      nspname       |            size            
 pg_enum_oid_index                              | pg_catalog         | 0.000007629394531250000000
 pg_publication_namespace_pnnspid_pnpubid_index | pg_catalog         | 0.000007629394531250000000
 pg_language                                    | pg_catalog         | 0.000007629394531250000000
 pg_statistic_ext_oid_index                     | pg_catalog         | 0.000007629394531250000000
 pg_subscription_rel_srrelid_srsubid_index      | pg_catalog         | 0.000007629394531250000000
 pg_subscription_subname_index                  | pg_catalog         | 0.000007629394531250000000
 pg_replication_origin_roiident_index           | pg_catalog         | 0.000007629394531250000000
 pg_seclabel_object_index                       | pg_catalog         | 0.000007629394531250000000
 sql_implementation_info                        | information_schema | 0.000007629394531250000000
 pg_foreign_server                              | pg_catalog         | 0.000007629394531250000000
 pg_database                                    | pg_catalog         | 0.000007629394531250000000
 pg_foreign_data_wrapper                        | pg_catalog         | 0.000007629394531250000000
 pg_subscription_oid_index                      | pg_catalog         | 0.000007629394531250000000
 pg_largeobject_loid_pn_index                   | pg_catalog         | 0.000007629394531250000000
 pg_replication_origin_roname_index             | pg_catalog         | 0.000007629394531250000000
 pg_extension                                   | pg_catalog         | 0.000007629394531250000000
 pg_largeobject_metadata_oid_index              | pg_catalog         | 0.000007629394531250000000
 pg_parameter_acl                               | pg_catalog         | 0.000007629394531250000000
 pg_statistic_ext_relid_index                   | pg_catalog         | 0.000007629394531250000000
 pg_statistic_ext_data_stxoid_inh_index         | pg_catalog         | 0.000007629394531250000000
 pg_enum_typid_label_index                      | pg_catalog         | 0.000007629394531250000000
 pg_publication_rel_oid_index                   | pg_catalog         | 0.000007629394531250000000
 pg_range                                       | pg_catalog         | 0.000007629394531250000000
 pg_stats_ext                                   | pg_catalog         |     0.00000000000000000000
 collation_character_set_applicability          | information_schema |     0.00000000000000000000
 pg_publication_rel                             | pg_catalog         |     0.00000000000000000000
 pg_indexes                                     | pg_catalog         |     0.00000000000000000000
 pg_config                                      | pg_catalog         |     0.00000000000000000000
 pg_stat_user_tables                            | pg_catalog         |     0.00000000000000000000
 foreign_data_wrappers                          | information_schema |     0.00000000000000000000
 column_column_usage                            | information_schema |     0.00000000000000000000
 role_table_grants                              | information_schema |     0.00000000000000000000
 pg_timezone_names                              | pg_catalog         |     0.00000000000000000000
 pg_timezone_abbrevs                            | pg_catalog         |     0.00000000000000000000
 pg_statio_all_tables                           | pg_catalog         |     0.00000000000000000000
 pg_enum                                        | pg_catalog         |     0.00000000000000000000
 pg_shmem_allocations                           | pg_catalog         |     0.00000000000000000000
 pg_stat_sys_indexes                            | pg_catalog         |     0.00000000000000000000
 view_table_usage                               | information_schema |     0.00000000000000000000
 referential_constraints                        | information_schema |     0.00000000000000000000
 pg_shadow                                      | pg_catalog         |     0.00000000000000000000
 pg_file_settings                               | pg_catalog         |     0.00000000000000000000
 pg_transform                                   | pg_catalog         |     0.00000000000000000000
 pg_statistic_ext_data                          | pg_catalog         |     0.00000000000000000000
 pg_subscription                                | pg_catalog         |     0.00000000000000000000
 pg_stat_xact_user_tables                       | pg_catalog         |     0.00000000000000000000
 pg_stat_replication_slots                      | pg_catalog         |     0.00000000000000000000
 _pg_user_mappings                              | information_schema |     0.00000000000000000000
 pg_stat_archiver                               | pg_catalog         |     0.00000000000000000000
 character_sets                                 | information_schema |     0.00000000000000000000
 pg_statio_user_tables                          | pg_catalog         |     0.00000000000000000000
 routine_table_usage                            | information_schema |     0.00000000000000000000
 pg_stat_activity                               | pg_catalog         |     0.00000000000000000000
 pg_stat_ssl                                    | pg_catalog         |     0.00000000000000000000
 pg_statio_user_indexes                         | pg_catalog         |     0.00000000000000000000
 _pg_foreign_tables                             | information_schema |     0.00000000000000000000
 pg_hba_file_rules                              | pg_catalog         |     0.00000000000000000000
 constraint_column_usage                        | information_schema |     0.00000000000000000000
 pg_stat_wal_receiver                           | pg_catalog         |     0.00000000000000000000
 pg_stat_subscription                           | pg_catalog         |     0.00000000000000000000
 pg_publication_namespace                       | pg_catalog         |     0.00000000000000000000
 pg_stat_progress_vacuum                        | pg_catalog         |     0.00000000000000000000
 pg_statio_sys_sequences                        | pg_catalog         |     0.00000000000000000000
 pg_stat_xact_all_tables                        | pg_catalog         |     0.00000000000000000000
 pg_replication_origin                          | pg_catalog         |     0.00000000000000000000
 pg_user                                        | pg_catalog         |     0.00000000000000000000
 pg_stat_replication                            | pg_catalog         |     0.00000000000000000000
 pg_publication_tables                          | pg_catalog         |     0.00000000000000000000
 schemata                                       | information_schema |     0.00000000000000000000
 pg_group                                       | pg_catalog         |     0.00000000000000000000
 pg_views                                       | pg_catalog         |     0.00000000000000000000
 pg_stat_progress_basebackup                    | pg_catalog         |     0.00000000000000000000
 triggered_update_columns                       | information_schema |     0.00000000000000000000
 pg_subscription_rel                            | pg_catalog         |     0.00000000000000000000
 pg_shseclabel                                  | pg_catalog         |     0.00000000000000000000
 foreign_data_wrapper_options                   | information_schema |     0.00000000000000000000
 pg_stat_sys_tables                             | pg_catalog         |     0.00000000000000000000
 pg_stat_recovery_prefetch                      | pg_catalog         |     0.00000000000000000000
 data_type_privileges                           | information_schema |     0.00000000000000000000
 pg_policy                                      | pg_catalog         |     0.00000000000000000000
 applicable_roles                               | information_schema |     0.00000000000000000000
 pg_stat_progress_create_index                  | pg_catalog         |     0.00000000000000000000
 pg_prepared_statements                         | pg_catalog         |     0.00000000000000000000
 administrable_role_authorizations              | information_schema |     0.00000000000000000000
 role_usage_grants                              | information_schema |     0.00000000000000000000
 column_privileges                              | information_schema |     0.00000000000000000000
 pg_stat_progress_copy                          | pg_catalog         |     0.00000000000000000000
 pg_replication_origin_status                   | pg_catalog         |     0.00000000000000000000
 views                                          | information_schema |     0.00000000000000000000
 pg_stat_progress_cluster                       | pg_catalog         |     0.00000000000000000000
 foreign_table_options                          | information_schema |     0.00000000000000000000
 pg_backend_memory_contexts                     | pg_catalog         |     0.00000000000000000000
 parameters                                     | information_schema |     0.00000000000000000000
 key_column_usage                               | information_schema |     0.00000000000000000000
 check_constraints                              | information_schema |     0.00000000000000000000
 information_schema_catalog_name                | information_schema |     0.00000000000000000000
 usage_privileges                               | information_schema |     0.00000000000000000000
 pg_stat_user_indexes                           | pg_catalog         |     0.00000000000000000000
 view_column_usage                              | information_schema |     0.00000000000000000000
 table_privileges                               | information_schema |     0.00000000000000000000
 column_udt_usage                               | information_schema |     0.00000000000000000000
 udt_privileges                                 | information_schema |     0.00000000000000000000
 routine_column_usage                           | information_schema |     0.00000000000000000000
 enabled_roles                                  | information_schema |     0.00000000000000000000
 pg_matviews                                    | pg_catalog         |     0.00000000000000000000
 pg_stats_ext_exprs                             | pg_catalog         |     0.00000000000000000000
 pg_stat_subscription_stats                     | pg_catalog         |     0.00000000000000000000
 domain_constraints                             | information_schema |     0.00000000000000000000
 routines                                       | information_schema |     0.00000000000000000000
 user_mappings                                  | information_schema |     0.00000000000000000000
 column_options                                 | information_schema |     0.00000000000000000000
 pg_stats                                       | pg_catalog         |     0.00000000000000000000
 pg_roles                                       | pg_catalog         |     0.00000000000000000000
 pg_seclabel                                    | pg_catalog         |     0.00000000000000000000
 pg_seclabels                                   | pg_catalog         |     0.00000000000000000000
 pg_cursors                                     | pg_catalog         |     0.00000000000000000000
 pg_stat_all_indexes                            | pg_catalog         |     0.00000000000000000000
 domains                                        | information_schema |     0.00000000000000000000
 pg_settings                                    | pg_catalog         |     0.00000000000000000000
 pg_stat_bgwriter                               | pg_catalog         |     0.00000000000000000000
 collations                                     | information_schema |     0.00000000000000000000
 user_defined_types                             | information_schema |     0.00000000000000000000
 pg_largeobject_metadata                        | pg_catalog         |     0.00000000000000000000
 pg_statio_user_sequences                       | pg_catalog         |     0.00000000000000000000
 pg_stat_all_tables                             | pg_catalog         |     0.00000000000000000000
 tables                                         | information_schema |     0.00000000000000000000
 pg_locks                                       | pg_catalog         |     0.00000000000000000000
 _pg_foreign_data_wrappers                      | information_schema |     0.00000000000000000000
 pg_rules                                       | pg_catalog         |     0.00000000000000000000
 pg_stat_user_functions                         | pg_catalog         |     0.00000000000000000000
 constraint_table_usage                         | information_schema |     0.00000000000000000000
 pg_largeobject                                 | pg_catalog         |     0.00000000000000000000
 pg_stat_xact_sys_tables                        | pg_catalog         |     0.00000000000000000000
 pg_available_extension_versions                | pg_catalog         |     0.00000000000000000000
 pg_statio_all_indexes                          | pg_catalog         |     0.00000000000000000000
 pg_stat_gssapi                                 | pg_catalog         |     0.00000000000000000000
 attributes                                     | information_schema |     0.00000000000000000000
 domain_udt_usage                               | information_schema |     0.00000000000000000000
 column_domain_usage                            | information_schema |     0.00000000000000000000
 pg_ident_file_mappings                         | pg_catalog         |     0.00000000000000000000
 role_udt_grants                                | information_schema |     0.00000000000000000000
 table_constraints                              | information_schema |     0.00000000000000000000
 foreign_server_options                         | information_schema |     0.00000000000000000000
 pg_sequences                                   | pg_catalog         |     0.00000000000000000000
 pg_statistic_ext                               | pg_catalog         |     0.00000000000000000000
 routine_routine_usage                          | information_schema |     0.00000000000000000000
 pg_user_mappings                               | pg_catalog         |     0.00000000000000000000
 role_routine_grants                            | information_schema |     0.00000000000000000000
 pg_stat_database                               | pg_catalog         |     0.00000000000000000000
 _pg_foreign_servers                            | information_schema |     0.00000000000000000000
 routine_sequence_usage                         | information_schema |     0.00000000000000000000
 view_routine_usage                             | information_schema |     0.00000000000000000000
 pg_statio_all_sequences                        | pg_catalog         |     0.00000000000000000000
 pg_stat_progress_analyze                       | pg_catalog         |     0.00000000000000000000
 user_mapping_options                           | information_schema |     0.00000000000000000000
 routine_privileges                             | information_schema |     0.00000000000000000000
 role_column_grants                             | information_schema |     0.00000000000000000000
 pg_tables                                      | pg_catalog         |     0.00000000000000000000
 foreign_servers                                | information_schema |     0.00000000000000000000
 pg_statio_sys_tables                           | pg_catalog         |     0.00000000000000000000
 pg_stat_xact_user_functions                    | pg_catalog         |     0.00000000000000000000
 pg_policies                                    | pg_catalog         |     0.00000000000000000000
 columns                                        | information_schema |     0.00000000000000000000
 pg_stat_wal                                    | pg_catalog         |     0.00000000000000000000
 element_types                                  | information_schema |     0.00000000000000000000
 check_constraint_routine_usage                 | information_schema |     0.00000000000000000000
 _pg_foreign_table_columns                      | information_schema |     0.00000000000000000000
 pg_publication                                 | pg_catalog         |     0.00000000000000000000
 sequences                                      | information_schema |     0.00000000000000000000
 pg_stat_slru                                   | pg_catalog         |     0.00000000000000000000
 triggers                                       | information_schema |     0.00000000000000000000
 pg_available_extensions                        | pg_catalog         |     0.00000000000000000000
 pg_statio_sys_indexes                          | pg_catalog         |     0.00000000000000000000
 pg_stat_database_conflicts                     | pg_catalog         |     0.00000000000000000000
 pg_replication_slots                           | pg_catalog         |     0.00000000000000000000
 pg_prepared_xacts                              | pg_catalog         |     0.00000000000000000000
 foreign_tables                                 | information_schema |     0.00000000000000000000
 transforms                                     | information_schema |     0.00000000000000000000
(330 rows)


