
Import: Release 12.1.0.2.0 - Production on Sun Mar 26 01:05:29 2023

Copyright (c) 1982, 2014, Oracle and/or its affiliates.  All rights reserved.

Connected to: Oracle Database 19c Enterprise Edition Release 19.0.0.0.0 - Production
Master table "INTUADMIN"."SYS_IMPORT_TABLE_01" successfully loaded/unloaded
Starting "INTUADMIN"."SYS_IMPORT_TABLE_01":  userid=intuadmin/********@psphpp01 dumpfile=DATA_PUMP_DIR:exp_data_%U.dmp,DATA_PUMP_DIR1:exp_data1_%U.dmp,DATA_PUMP_DIR2:exp_data2_%U.dmp,DATA_PUMP_DIR3:exp_data3_%U.dmp parallel=16 TABLES=PSPADM.PSP_FINANCIAL_TRANS_STATE,PSPADM.PSP_PSTUB_PAY_ITEM content=data_only logfile=DATA_PUMP_DIR:imp_psp_tables1.log 
Processing object type SCHEMA_EXPORT/TABLE/TABLE_DATA
. . imported "PSPADM"."PSP_FINANCIAL_TRANS_STATE":"FINANCIAL_TXN_STATE_M102021"  8.006 GB 39046469 rows
. . imported "PSPADM"."PSP_FINANCIAL_TRANS_STATE":"FINANCIAL_TXN_STATE_M012022"  7.880 GB 38423702 rows
. . imported "PSPADM"."PSP_FINANCIAL_TRANS_STATE":"FINANCIAL_TXN_STATE_M082018"  7.868 GB 38308030 rows
. . imported "PSPADM"."PSP_FINANCIAL_TRANS_STATE":"FINANCIAL_TXN_STATE_M102020"  7.833 GB 38137225 rows
. . imported "PSPADM"."PSP_FINANCIAL_TRANS_STATE":"FINANCIAL_TXN_STATE_M042019"  7.798 GB 38045371 rows
. . imported "PSPADM"."PSP_FINANCIAL_TRANS_STATE":"FINANCIAL_TXN_STATE_M012020"  7.754 GB 37685425 rows
. . imported "PSPADM"."PSP_FINANCIAL_TRANS_STATE":"FINANCIAL_TXN_STATE_M062020"  7.745 GB 37826648 rows
. . imported "PSPADM"."PSP_FINANCIAL_TRANS_STATE":"FINANCIAL_TXN_STATE_M052021"  7.716 GB 37631821 rows
. . imported "PSPADM"."PSP_FINANCIAL_TRANS_STATE":"FINANCIAL_TXN_STATE_M082019"  7.674 GB 37358469 rows
. . imported "PSPADM"."PSP_FINANCIAL_TRANS_STATE":"FINANCIAL_TXN_STATE_M032020"  7.672 GB 37445700 rows
. . imported "PSPADM"."PSP_FINANCIAL_TRANS_STATE":"FINANCIAL_TXN_STATE_M052018"  7.658 GB 37345065 rows
. . imported "PSPADM"."PSP_FINANCIAL_TRANS_STATE":"FINANCIAL_TXN_STATE_M022022"  7.615 GB 37138996 rows
. . imported "PSPADM"."PSP_FINANCIAL_TRANS_STATE":"FINANCIAL_TXN_STATE_M022023"  7.549 GB 36829653 rows
. . imported "PSPADM"."PSP_FINANCIAL_TRANS_STATE":"FINANCIAL_TXN_STATE_M082017"  7.532 GB 36673728 rows
. . imported "PSPADM"."PSP_FINANCIAL_TRANS_STATE":"FINANCIAL_TXN_STATE_M012018"  7.530 GB 36672710 rows
. . imported "PSPADM"."PSP_FINANCIAL_TRANS_STATE":"FINANCIAL_TXN_STATE_M042020"  7.515 GB 36555597 rows
. . imported "PSPADM"."PSP_FINANCIAL_TRANS_STATE":"FINANCIAL_TXN_STATE_M072018"  7.511 GB 36625108 rows
. . imported "PSPADM"."PSP_FINANCIAL_TRANS_STATE":"FINANCIAL_TXN_STATE_M082020"  7.444 GB 36309111 rows
. . imported "PSPADM"."PSP_FINANCIAL_TRANS_STATE":"FINANCIAL_TXN_STATE_M012021"  7.369 GB 35893977 rows
. . imported "PSPADM"."PSP_FINANCIAL_TRANS_STATE":"FINANCIAL_TXN_STATE_M112020"  7.358 GB 35914147 rows
. . imported "PSPADM"."PSP_FINANCIAL_TRANS_STATE":"FINANCIAL_TXN_STATE_M092019"  7.315 GB 35686121 rows
