SQL> set lines 500 pages 500
col constraint_name for a50
col table_name for a50
select constraint_name, table_name,status  from dba_constraints where owner='PSPADM' and constraint_type='R' SQL> SQL> SQL> ;

CONSTRAINT_NAME 				   TABLE_NAME					      STATUS
PSP_COMPANY_OFFERING_FK2			   PSP_COMPANY_OFFERING 			      ENABLED
PSP_COMPANY_PAYCHECK_BATCH_FK2			   PSP_COMPANY_PAYCHECK_BATCH			      ENABLED
PSP_COMPANY_PAYROLL_ITEM_FK1			   PSP_COMPANY_PAYROLL_ITEM			      ENABLED
PSP_COMPANY_PIN_FK1				   PSP_COMPANY_PIN				      ENABLED
PSP_COMPANY_SERVICE_FK1 			   PSP_COMPANY_SERVICE				      ENABLED
PSP_COMPANY_TFSSUBMISSION_FK1			   PSP_COMPANY_TFSSUBMISSION			      ENABLED
PSP_COMPANY_ADJUSTMENT_SUB_FK1			   PSP_COMP_ADJUST_SUBMISSION			      ENABLED
PSP_CONTACT_FK2 				   PSP_CONTACT					      ENABLED
PSP_DEPOSIT_FREQUENCY_FILE_FK1			   PSP_DEPOSIT_FREQUENCY_FILE_REC		      ENABLED
PSP_DISBURSE_ADVICE_FK1 			   PSP_DISBURSE_ADVICE				      ENABLED
PSP_EMPLOYEE_FK2				   PSP_EMPLOYEE 				      ENABLED
PSP_EMPLOYEE_LAW_QTR_TOTAL_FK3			   PSP_EMPLOYEE_LAW_QTR_TOTALS			      ENABLED
PSP_EMPLOYER_CONTRIBUTION_FK1			   PSP_EMPLOYER_CONTRIBUTION			      ENABLED
PSP_EMPLOYER_PREFERENCE_FK1			   PSP_EMPLOYER_PREFERENCE			      ENABLED
PSP_EMP_TOTALS_PAYROLL_RUN_FK2			   PSP_EMP_TOTALS_PAYROLL_RUN			      ENABLED
PSP_ENTITLEMENTUNIT_FK1 			   PSP_ENTITLEMENT_UNIT 			      ENABLED
PSP_ENTITYCHANGE_FK1				   PSP_ENTITY_CHANGE				      ENABLED
PSP_ENTITY_UPDATE_FK1				   PSP_ENTITY_UPDATE				      ENABLED
PSP_FRAUDADDRESS_FK1				   PSP_FRAUD_ADDRESS				      ENABLED
PSP_FRAUDBANKACCOUNT_FK1			   PSP_FRAUD_BANK_ACCOUNT			      ENABLED
PSP_FRAUDCOMPANY_FK1				   PSP_FRAUD_COMPANY				      ENABLED
PSP_FRAUDCONTACT_FK1				   PSP_FRAUD_CONTACT				      ENABLED
PSP_FRAUD_EVENT_FK3				   PSP_FRAUD_EVENT				      ENABLED
PSP_LIABILITY_ADJUSTMENT_FK7			   PSP_LIABILITY_ADJUSTMENT			      ENABLED
PSP_LIABILITY_CHECK_FK1 			   PSP_LIABILITY_CHECK				      ENABLED
PSP_ON_HOLD_REASON_FK1				   PSP_ON_HOLD_REASON				      ENABLED
PSP_PAYCHECK_USAGE_FK1				   PSP_PAYCHECK_USAGE				      ENABLED
PSP_PAYCHECK_USAGE_HIST_FK3			   PSP_PAYCHECK_USAGE_HIST			      ENABLED
PSP_PAYEE_FK1					   PSP_PAYEE					      ENABLED
PSP_PAYROLL_RUN_FK2				   PSP_PAYROLL_RUN				      ENABLED
PSP_PRIOR_PAYMENT_SUBMISSI_FK1			   PSP_PRIOR_PAYMENT_SUBMISSION 		      ENABLED
PSP_QBDT_EMPLOYEE_INFO_FK2			   PSP_QBDT_EMPLOYEE_INFO			      ENABLED
PSP_QBDT_PAYROLL_ITEM_INFO_FK3			   PSP_QBDT_PAYROLL_ITEM_INFO			      ENABLED
PSP_QBDT_PAYROLL_TRANSACTI_FK3			   PSP_QBDT_PAYROLL_TRANSACTION 		      ENABLED
PSP_QBDT_UNPROCESSED_REQUE_FK2			   PSP_QBDT_UNPROCESSED_REQUEST 		      ENABLED
PSP_QUICKBOOKS_INFO_FK1 			   PSP_QUICKBOOKS_INFO				      ENABLED
PSP_SMSMIGRATION_FK1				   PSP_SMSMIGRATION				      ENABLED
PSP_TAX_TABLE_MISC_DATA_FK2			   PSP_TAX_TABLE_MISC_DATA			      ENABLED
PSP_TRANSACTION_RESPONSE_FK1			   PSP_TRANSACTION_RESPONSE			      ENABLED
PSP_TRANSACTION_RETURN_FK3			   PSP_TRANSACTION_RETURN			      ENABLED
PSP_VMP_EMPLOYEE_INFO_FK1			   PSP_VMP_EMPLOYEE_INFO			      ENABLED
PSP_WC_COMPANY_FK1				   PSP_WC_COMPANY				      ENABLED
PSP_COMPANYFILINGAMOUNT_FK1			   PSP_COMPANY_FILING_AMOUNT			      ENABLED
PSP_COMPANYPAYMENTTEMPLATE_FK1			   PSP_COMP_PMTTEMPLATE_PMTMETHOD		      ENABLED
PSP_COMPANYPAYMENTTEMPLATE_FK2			   PSP_COMP_PMT_TEMPLATE_AGENCYID		      ENABLED
PSP_EFFECTIVE_DEPOSIT_FREQ_FK1			   PSP_EFFECTIVE_DEPOSIT_FREQ			      ENABLED
PSP_ACHENROLLMENT_FK2				   PSP_ACHENROLLMENT				      ENABLED
PSP_COMPANY_AGENCY_FORM_TE_FK1			   PSP_COMPANYAGENCY_FRMTEMPLATE		      ENABLED
PSP_COMPANY_AGENCY_PAYMENT_FK1			   PSP_COMPANYAGENCY_PMTTEMPLATE		      ENABLED
PSP_COMPANY_LAW_FK1				   PSP_COMPANY_LAW				      ENABLED
PSP_COMPANY_RATE_REQUEST_FK2			   PSP_COMPANY_RATE_REQUEST			      ENABLED
PSP_EFTPS_ENROLLMENT_FK1			   PSP_EFTPS_ENROLLMENT 			      ENABLED
PSP_RAFENROLLMENT_FK1				   PSP_RAFENROLLMENT				      ENABLED
PSP_TAX_PENALTY_INTEREST_FK1			   PSP_TAX_PENALTY_INTEREST			      ENABLED
PSP_COMPANY_SERVICE_BANK_A_FK2			   PSP_COMPANY_SERVICE_BANK_ACCT		      ENABLED
PSP_COMPANY_EVENT_DETAIL_FK1			   PSP_COMPANY_EVENT_DETAIL			      ENABLED
PSP_COMPANY_EVENT_EMAIL_FK1			   PSP_COMPANY_EVENT_EMAIL			      ENABLED
PSP_COMPANYNOTE_FK1				   PSP_COMPANY_NOTE				      ENABLED
PSP_EVENT_AS400_SYNC_FK1			   PSP_EVENT_AS400_SYNC 			      ENABLED
PSP_FRAUD_EVENT_FK1				   PSP_FRAUD_EVENT				      ENABLED
PSP_COMPANY_EVENT_EMAIL_PA_FK1			   PSP_COMPANY_EVENT_EMAIL_PARAM		      ENABLED
PSP_FINANCIAL_TRANSACTION_FK16			   PSP_FINANCIAL_TRANSACTION			      ENABLED
PSP_TAX_FK3					   PSP_TAX					      ENABLED
PSP_COMPANY_LAW_FK4				   PSP_COMPANY_LAW				      ENABLED
PSP_COMPANY_LAW_RATE_FK1			   PSP_COMPANY_LAW_RATE 			      ENABLED
PSP_EMPLOYEE_LAW_QTR_TOTAL_FK6			   PSP_EMPLOYEE_LAW_QTR_TOTALS			      ENABLED
PSP_EMPLOYEE_TAX_FK1				   PSP_EMPLOYEE_TAX				      ENABLED
PSP_EMPLOYEE_W2_TOTALS_FK6			   PSP_EMPLOYEE_W2_TOTALS			      ENABLED
PSP_LIABILITY_ADJUSTMENT_FK6			   PSP_LIABILITY_ADJUSTMENT			      ENABLED
PSP_LIABILITY_CHECK_LINE_FK4			   PSP_LIABILITY_CHECK_LINE			      ENABLED
PSP_PAYROLL_ITEM_TAXABLE_T_FK1			   PSP_PAYROLL_ITEM_TAXABLE_TO			      ENABLED
PSP_QBDT_PAYROLL_ITEM_INFO_FK1			   PSP_QBDT_PAYROLL_ITEM_INFO			      ENABLED
PSP_CHECK_PRINT_PAYCHECK_FK1			   PSP_CHECK_PRINT_PAYCHECK			      ENABLED
PSP_COMPENSATION_FK2				   PSP_COMPENSATION				      ENABLED
PSP_DEDUCTION_FK2				   PSP_DEDUCTION				      ENABLED
PSP_COMPANY_PAYROLL_ITEM_FK4			   PSP_COMPANY_PAYROLL_ITEM			      ENABLED
PSP_EMPLOYEE_PAYROLL_ITEM__FK1			   PSP_EE_PAYROLLITEM_QTRTOTALS 		      ENABLED
PSP_EMPLOYEE_PAYROLL_ITEM_FK1			   PSP_EMPLOYEE_PAYROLL_ITEM			      ENABLED
PSP_EMPLOYEE_W2_TOTALS_FK1			   PSP_EMPLOYEE_W2_TOTALS			      ENABLED
PSP_EMPLOYERCONTRIBUTION_FK1			   PSP_EMPLOYER_CONTRIBUTION			      ENABLED
PSP_LIABILITY_CHECK_LINE_FK1			   PSP_LIABILITY_CHECK_LINE			      ENABLED
PSP_PAYROLL_ITEM_TAXABLE_T_FK2			   PSP_PAYROLL_ITEM_TAXABLE_TO			      ENABLED
PSP_QBDT_PAYROLL_ITEM_INFO_FK2			   PSP_QBDT_PAYROLL_ITEM_INFO			      ENABLED
PSP_QBDT_PAYROLL_TRANSLINE_FK1			   PSP_QBDT_PAYROLL_TRANS_LINE			      ENABLED
PSP_BPCOMPANY_SERVICE_INFO_FK1			   PSP_BPCOMPANY_SERVICE_INFO			      ENABLED
PSP_CDCOMPANY_SERVICE_INFO_FK1			   PSP_CDCOMPANY_SERVICE_INFO			      ENABLED
PSP_COMPANY_SERVICE_BANK_A_FK1			   PSP_COMPANY_SERVICE_BANK_ACCT		      ENABLED
PSP_DDCOMPANY_SERVICE_INFO_FK1			   PSP_DDCOMPANY_SERVICE_INFO			      ENABLED
PSP_RACOMPANY_SERVICE_INFO_FK1			   PSP_RACOMPANY_SERVICE_INFO			      ENABLED
PSP_TAX_COMPANY_SERVICE_IN_FK1			   PSP_TAX_COMPANY_SERVICE_INFO 		      ENABLED
PSP_THIRD_PARTY401K_COMPAN_FK1			   PSP_TP401KCOMPANY_SERVICE_INFO		      ENABLED
PSP_BILL_FK1					   PSP_BILL					      ENABLED
PSP_USAGEPERIOD_FK1				   PSP_USAGE_PERIOD				      ENABLED
PSP_QBDT_PAYLINE_INFO_FK2			   PSP_QBDT_PAYLINE_INFO			      ENABLED
PSP_FINANCIAL_TRANSACTION_FK11			   PSP_FINANCIAL_TRANSACTION			      ENABLED
PSP_PAYCHECK_FK3				   PSP_PAYCHECK 				      ENABLED
PSP_QBDT_TRANSACTION_INFO_FK5			   PSP_QBDT_TRANSACTION_INFO			      ENABLED
PSP_COMPANY_ADJUSTMENT_SUB_FK4			   PSP_COMP_ADJUST_SUBMISSION			      ENABLED
PSP_COMPANY_ADJUSTMENT_SUB_FK3			   PSP_COMP_ADJUST_SUBMISSION			      ENABLED
PSP_LIABILITY_ADJUSTMENT_FK1			   PSP_LIABILITY_ADJUSTMENT			      ENABLED
PSP_QBDT_PAYROLL_TRANSACTI_FK1			   PSP_QBDT_PAYROLL_TRANSACTION 		      ENABLED
PSP_QBDT_PAYLINE_INFO_FK3			   PSP_QBDT_PAYLINE_INFO			      ENABLED
PSP_DEPOSITFREQUENCYFILERE_FK1			   PSP_DEPOSIT_FREQUENCY_FILE_REC		      ENABLED
PSP_DISBURSE_ADVICE_TAX_LI_FK1			   PSP_DISBURSE_ADVICE_TAX_LIAB 		      ENABLED
